language,Q,A
Catalan,a quina hora li he dit que arribava?,sí
Catalan,oi que sí?,sí
Dutch,maar een zomerjurk?,ja
Dutch,was dat in de buurt van ruurlo?,ja
English,thats going to your house  right?,yeah
English,e- how are your eyes?,yeah
German,und äh wir waren jetzt ja äh äh soll ich dir mal alles der Reihe nach erzählen?,ja
German,ah ja da hast du Schmerzen jetzt oder?,ja
Kerinci,lebih baik itòh bé jadi maharnyo kan?,iyò
Kerinci,yang keikhlasannyo yò?,iyò
Korean,ja-gi-do geu teum-e ggi-eo-seo gan geo-ya?,eung
Korean,eung eung eung eung eung geu-rae da ba-ggwi-eoss-da-de?,eung
Mandarin,hao de  hao de  hao de  hao  jiu zhege shiqing shiba?,e
Mandarin,bushi huanyou yi dong fangzi ma?,e
Polish,a czy znała język litewski?,mhm
Polish,tak p_trunc[groan]przy mężu jak się to mówi prawda?,mhm
Sambas,itoq lah anak béduwaq i?,eeq
Sambas,di apé yé?,eeq
Spanish,oye y la estela cómo está?,sí
Spanish,y la blanqui la blanca y los niños?,sí
